Short name,Final corrected TA
D53_C1_pore,1887.438234
D53_C1_pore,1856.093981
D53_C2,1940.815793
D53_C2,1905.473974
D53_C2,1932.668453
D53_C2_pore,1833.909808
D53_C2_pore,1887.231009
D53_OA1,2187.624393
D53_OA1,2150.935872
D53_OA1,2196.401604
D53_OA1_pore,2074.406991
D53_OA1_pore,2107.226088
D53_OA1_pore,2112.662694
D53_OA2,2201.855036
D53_OA2,2197.119986
D53_OA2,2194.989303
D53_OA2_pore,2268.207202
D53_OA2_pore,2279.075265
D53_OA2_pore,2266.259877
D53_OASH1,2179.400239
D53_OASH1,2180.07121
D53_OASH1,2174.907738
D53_OASH1_pore,2552.395889
D53_OASH1_pore,2641.141222
D53_OASH1_pore,2633.331058
D53_OASH2,2169.988807
D53_OASH2,2173.203353
D53_OASH2,2181.677978
D53_OASH2_pore,2409.61652
D53_OASH2_pore,2412.030247
D53_SH1,1917.567743
D53_SH1,1915.044446
D53_SH1,1916.407487
D53_SH1_pore,2110.382422
D53_SH1_pore,2108.024254
D53_SH1_pore,2099.742591
D53_SH2,1921.822346
D53_SH2,1916.720444
D53_SH2,1914.747717
D53_SH2_pore,1940.95859
D53_SH2_pore,1936.340422
D53_SH2_pore,1935.423092
D53_sump,1944.798478
D53_sump,1943.291305
D53_sump,1947.310581
D53_sumpOA,2114.331215
D53_sumpOA,2154.18842
D53_sumpOA,2093.513256
D60_C1,1828.892587
D60_C1,1825.997652
D60_C1,1690.058498
D60_C1_pore,1843.31611
D60_C1_pore,1835.879301
D60_C1_pore,1763.250209
D60_C2,1780.916468
D60_C2,1819.062086
D60_C2,1789.488747
D60_C2_pore,1901.1125
D60_C2_pore,1902.04338
D60_C2_pore,1902.544623
D60_OA1,2091.901963
D60_OA1,2095.686859
D60_OA1,2097.927108
D60_OA1_pore,2181.430104
D60_OA1_pore,2178.207828
D60_OA1_pore,2058.738087
D60_OA2,2099.594509
D60_OA2,2102.315542
D60_OA2,2099.788868
D60_OA2_pore,2294.240473
D60_OA2_pore,2284.604332
D60_OA2_pore,2292.521926
D60_OASH1,2094.592308
D60_OASH1,2099.666115
D60_OASH1,2097.814584
D60_OASH1_pore,2046.42183
D60_OASH1_pore,2472.406795
D60_OASH1_pore,2556.288281
D60_OASH2,2095.175386
D60_OASH2,2097.456554
D60_OASH2,2089.078634
D60_OASH2_pore,2390.36661
D60_OASH2_pore,2378.602743
D60_OASH2_pore,2383.881139
D60_SH1,1820.381685
D60_SH1,1828.186755
D60_SH1,1827.429775
D60_SH1_pore,1940.628863
D60_SH1_pore,1882.361919
D60_SH1_pore,1942.664524
D60_SH2,1754.4938
D60_SH2,1828.442491
D60_SH2,1827.276334
D60_SH2_pore,1933.0693
D60_SH2_pore,1934.266146
D60_SH2_pore,1930.338037
D60_sump,1822.540098
D60_sump,1822.499181
D60_sump,1823.25616
D60_sumpOA,2094.264965
D60_sumpOA,2094.837815
D60_sumpOA,2097.569078
D67_C1,1799.586228
D67_C1,1802.864716
D67_C1,1802.429608
D67_C1_pore,1827.435208
D67_C1_pore,1826.162505
D67_C1_pore,1839.467278
D67_C2,1795.397049
D67_C2,1772.761317
D67_C2,1820.238677
D67_C2_pore,1832.645524
D67_C2_pore,1840.048646
D67_C2_pore,1839.144465
D67_OA1,2092.89535
D67_OA1,2124.100288
D67_OA1,2127.81903
D67_OA1_pore,2256.682386
D67_OA1_pore,2320.047799
D67_OA1_pore,2309.409028
D67_OA2,2106.731963
D67_OA2,2100.640452
D67_OA2,2102.299933
D67_OA2_pore,2252.674761
D67_OA2_pore,2274.171077
D67_OA2_pore,2292.090909
D67_OASH1,1897.880149
D67_OASH1,1814.602512
D67_OASH1,1894.480236
D67_OASH1_pore,2520.800835
D67_OASH1_pore,2534.133299
D67_OASH1_pore,2495.16173
D67_OASH2,1759.374159
D67_OASH2,1754.507021
D67_OASH2,1736.232487
D67_OASH2_pore,2447.661445
D67_OASH2_pore,2432.187089
D67_OASH2_pore,2136.332857
D67_SH1,1816.86912
D67_SH1,1808.045536
D67_SH1,1769.472711
D67_SH1_pore,1839.686991
D67_SH1_pore,1883.7442
D67_SH1_pore,1860.774548
D67_SH2,1835.730544
D67_SH2,1839.970317
D67_SH2,1781.554545
D67_SH2_pore,1765.607333
D67_SH2_pore,1763.350843
D67_SH2_pore,1770.15067
D74_C1,1876.839342
D74_C1,1934.221104
D74_C1,1936.228945
D74_C1_pore,1997.649978
D74_C1_pore,1944.05272
D74_C1_pore,1995.924507
D74_C2,1944.687021
D74_C2,1945.564639
D74_C2,1945.619946
D74_C2_pore,1903.513393
D74_C2_pore,1938.241386
D74_C2_pore,1941.998006
D74_OA1,2179.365962
D74_OA1,2254.366211
D74_OA1,2228.314879
D74_OA1_pore,2360.271201
D74_OA1_pore,2219.277934
D74_OA1_pore,2182.702718
D74_OA2,2264.209865
D74_OA2,2265.244247
D74_OA2,2035.449579
D74_OA2_pore,2455.025942
D74_OA2_pore,2460.337051
D74_OA2_pore,2381.961444
D74_OASH1,2238.042376
D74_OASH1,2245.639994
D74_OASH1,2158.248368
D74_OASH1_pore,2542.025348
D74_OASH1_pore,2381.907856
D74_OASH1_pore,2469.300696
D74_OASH2,2249.321773
D74_OASH2,2253.698714
D74_OASH2,2254.844905
D74_OASH2_pore,2527.069534
D74_OASH2_pore,2490.669518
D74_OASH2_pore,2533.572415
D74_SH1,1859.151907
D74_SH1,1948.021189
D74_SH1,1950.106183
D74_SH1_pore,1947.921327
D74_SH1_pore,1990.450159
D74_SH1_pore,1993.445625
D74_SH2,1948.159994
D74_SH2,1995.204907
D74_SH2,2009.538275
D74_SH2_pore,2082.553782
D74_SH2_pore,2106.303444
D74_SH2_pore,2107.273525
D74_sump,2269.32528
D74_sump,2269.185825
D74_sump,2247.26996
D74_sump,1817.292061
D74_sump,1927.378289
D74_sump,1930.630259
D81_C1,1764.625811
D81_C1,1767.853704
D81_C1,1749.144063
D81_C1_pore,1769.118553
D81_C1_pore,1830.32711
D81_C1_pore,1834.303795
D81_C2,1765.71864
D81_C2,1695.524597
D81_C2,1660.412398
D81_C2_pore,1766.497787
D81_C2_pore,1783.851511
D81_C2_pore,1782.981295
D81_OA1,2189.038196
D81_OA1,2193.389276
D81_OA1,2072.419148
D81_OA1_pore,2067.562129
D81_OA1_pore,2274.106859
D81_OA1_pore,2165.704268
