Sample,pH measured,pH corrected TRIS
D60_OASH1_pore,7.5241,7.4899
D60_OASH1_pore,7.5463,7.5121
D60_OA1_pore,7.2093,7.1751
D60_OA1_pore,7.203,7.1688
D60_SH1_pore,7.7064,7.6722
D60_SH1_pore,7.7254,7.6912
D60_SH2,7.7913,7.7571
D60_SH2,7.7983,7.7641
D25_C1,7.8477,7.8135
D25_C1,7.8546,7.8204
D60_SH2_pore,7.6906,7.6564
D60_SH2_pore,7.7428,7.7086
D32_OASH2,7.4019,7.3677
D32_OASH2,7.4161,7.3819
D60_C1_pore,7.4263,7.3921
D60_C1_pore,7.439,7.4048
D60_OA2,7.3942,7.36
D60_OA2,7.3987,7.3645
D60_SH1,7.802,7.7678
D60_SH1,7.7994,7.7652
D25_SH2,7.8518,7.8176
D25_SH2,7.8531,7.8189
D60_OA1,7.3934,7.3592
D60_OA1,7.3942,7.36
D25_OA2,7.4249,7.3907
D25_OA2,7.4261,7.3919
D53_OA2_pore,7.0813,7.0471
D53_OA2_pore,7.0771,7.0429
D60_C2,7.7876,7.7534
D60_C2,7.8026,7.7684
D60_OASH2,7.3939,7.3597
D60_OASH2,7.3946,7.3604
D25_OASH1_pore,7.4911,7.4569
D25_OASH1_pore,7.4951,7.4609
D60_OASH1,7.384,7.3498
D60_OA1,7.8021,7.7679
D60_OA1,7.7924,7.7582
D25_OASH1,7.4336,7.3994
D25_OASH1,7.4508,7.4166
