Name,Name_full_over,Name_full_pore,pore_TA,over_TA,sed_type,bucket_ID,over_pH
D25_C1,D25_C1_over,D25_C1_pore,2063.655434,2079.320366,sand,C1,high
D25_C1,D25_C1_over.1,D25_C1_pore.1,2056.217513,2045.005346,sand,C1,high
D25_C1,D25_C1_over.2,D25_C1_pore.2,2064.22137,2080.549064,sand,C1,high
D25_C2,D25_C2_over,D25_C2_pore,1914.161982,2087.144117,sand,C2,high
D25_C2,D25_C2_over.1,D25_C2_pore.1,1935.666369,2089.155812,sand,C2,high
D25_C2,D25_C2_over.2,D25_C2_pore.2,1766.660061,2088.790049,sand,C2,high
D25_OA2,D25_OA2_over,D25_OA2_pore,2289.360142,2131.249014,sand,OA2,low
D25_OA2,D25_OA2_over.1,D25_OA2_pore.1,2288.405095,2129.999324,sand,OA2,low
D25_OA2,D25_OA2_over.2,D25_OA2_pore.2,2291.839201,2134.764401,sand,OA2,low
D25_OASH1,D25_OASH1_over,D25_OASH1_pore,2974.809783,2147.724068,shells,OASH1,low
D25_OASH1,D25_OASH1_over.1,D25_OASH1_pore.1,2974.565941,2097.640684,shells,OASH1,low
D25_OASH1,D25_OASH1_over.2,D25_OASH1_pore.2,2972.320564,2151.253228,shells,OASH1,low
D25_SH1,D25_SH1_over,D25_SH1_pore,1983.688308,1829.89095,shells,SH1,high
D25_SH1,D25_SH1_over.1,D25_SH1_pore.1,1974.946602,1828.529499,shells,SH1,high
D25_SH1,D25_SH1_over.2,D25_SH1_pore.2,1983.08255,1827.676053,shells,SH1,high
D25_SH2,D25_SH2_over,D25_SH2_pore,2027.742956,1987.464525,shells,SH2,high
D25_SH2,D25_SH2_over.1,D25_SH2_pore.1,2025.425531,2090.175866,shells,SH2,high
D25_SH2,D25_SH2_over.2,D25_SH2_pore.2,2026.554573,2089.431711,shells,SH2,high
D32_C1,D32_C1_over,D32_C1_pore,2219.077269,2087.319169,sand,C1,high
D32_C1,D32_C1_over.1,D32_C1_pore.1,2103.617824,2004.726594,sand,C1,high
D32_C1,D32_C1_over.2,D32_C1_pore.2,2221.040759,2092.87376,sand,C1,high
D32_C2,D32_C2_over,D32_C2_pore,1867.73799,2097.199943,sand,C2,high
D32_C2,D32_C2_over.1,D32_C2_pore.1,1781.240014,2093.86938,sand,C2,high
D32_C2,D32_C2_over.2,D32_C2_pore.2,1851.403429,2094.136295,sand,C2,high
D32_OA1,D32_OA1_over,D32_OA1_pore,2522.471197,2308.7978,sand,OA1,low
D32_OA1,D32_OA1_over.1,D32_OA1_pore.1,2516.110338,2236.296685,sand,OA1,low
